2020-07-20,Switch,Animal Crossing: New Horizons,US,4500
2020-07-21,Switch,Animal Crossing: New Horizons,US,900
2020-07-22,Switch,Animal Crossing: New Horizons,US,900
2020-07-24,Switch,Mario Kart 8 Deluxe,US,300
2020-07-24,Switch,Animal Crossing: New Horizons,US,3600
2020-07-25,Switch,Animal Crossing: New Horizons,US,1800
2020-07-27,Switch,Animal Crossing: New Horizons,US,2700
2020-07-29,Switch,Animal Crossing: New Horizons,US,900
2020-07-31,Switch,Animal Crossing: New Horizons,US,2700
2020-08-01,Switch,Animal Crossing: New Horizons,US,4500
2020-08-06,Switch,Animal Crossing: New Horizons,US,5400
2020-08-07,Switch,Animal Crossing: New Horizons,US,300
2020-08-08,Switch,Mario Kart 8 Deluxe,US,1800
2020-08-08,Switch,Overcooked! 2,US,900
2020-08-11,Switch,Animal Crossing: New Horizons,US,1800
2020-08-16,Switch,Animal Crossing: New Horizons,US,2700
2020-08-28,Switch,Overcooked! 2,US,7200
2020-09-05,Switch,Animal Crossing: New Horizons,US,3600
2020-09-06,Switch,Overcooked! 2,US,4500
2020-09-12,Switch,Mario Kart 8 Deluxe,US,900
2020-09-12,Switch,Overcooked! 2,US,300
2020-09-14,Switch,Animal Crossing: New Horizons,US,1800
2020-10-06,Switch,Overcooked! 2,US,8100
2020-10-11,Switch,Overcooked! 2,US,300
2020-11-29,Switch,Animal Crossing: New Horizons,US,300
2020-12-04,Switch,Overcooked! 2,US,9900
2020-12-28,Switch,Pikmin 3 Deluxe,US,900
2020-12-29,Switch,Pikmin 3 Deluxe,US,3600
2021-01-03,Switch,Mario Kart 8 Deluxe,US,2700
2021-01-16,Switch,Mario Kart 8 Deluxe,US,900
2021-01-30,Switch,Mario Kart 8 Deluxe,US,900
2021-02-04,Switch,Mario Kart 8 Deluxe,US,300
2021-02-11,Switch,Mario Kart 8 Deluxe,US,1800
2021-04-02,Switch,Mario Kart 8 Deluxe,US,6300
2021-06-12,Switch,Super Mario Party,US,2700
2021-06-13,Switch,Super Mario Party,US,3600
2021-06-14,Switch,Super Mario Party,US,300
2021-06-16,Switch,Super Mario Party,US,3600
2021-11-22,Switch,Mario Kart 8 Deluxe,US,1800
2022-01-02,Switch,Mario Party Superstars,US,300
2022-01-03,Switch,Mario Party Superstars,US,7200
2022-04-11,Switch,Mario Party Superstars,US,4500
2022-09-29,Switch,Pikmin 3 Deluxe,US,1800
2022-12-25,Switch,Pikmin 3 Deluxe,US,6300
2023-03-11,Switch,Pikmin 3 Deluxe,US,3600
2023-03-24,Switch,Mario Kart 8 Deluxe,US,6300
2023-03-24,Switch,Smash Bros. Ultimate,US,300
2023-03-29,Switch,Pikmin 3 Deluxe,US,2700
2023-04-04,Switch,Smash Bros. Ultimate,US,2700
2023-04-04,Switch,Pikmin 3 Deluxe,US,300
2023-06-10,Switch,Mario Kart 8 Deluxe,US,2700
2023-06-10,Switch,Super Mario Party,US,900
2023-06-11,Switch,Mario Kart 8 Deluxe,US,2700
2023-06-20,Switch,Pikmin 1,US,3600
2023-06-27,Switch,Pikmin 1,US,3600
2023-07-01,Switch,Pikmin 4,US,6300
2023-07-18,Switch,Pikmin 4,US,300
2023-07-18,Switch,Sonic Origins,US,300
2023-07-20,Switch,Pikmin 4,US,1800
2023-07-20,Switch,Sonic Origins,US,300
2023-07-21,Switch,Pikmin 4,US,17100
2023-07-22,Switch,Pikmin 4,US,13500
2023-07-23,Switch,Pikmin 4,US,1800
2023-07-24,Switch,Pikmin 4,US,7200
2023-07-25,Switch,Pikmin 4,US,4500
2023-08-14,Switch,Pikmin 4,US,300
2023-08-19,Switch,Pikmin 4,US,1800
2023-08-27,Switch,Pikmin 4,US,3600
2023-08-28,Switch,Pikmin 4,US,2700
2023-09-05,Switch,Pikmin 4,US,1800
2023-09-23,Switch,Sonic Origins,US,900
2023-10-01,Switch,Pikmin 4,US,900
2023-10-01,Switch,Sonic Origins,US,300
2023-10-02,Switch,Pikmin 4,US,3600
2023-12-28,Switch,Super Mario RPG,US,2700
2023-12-29,Switch,Super Mario RPG,US,6300
2023-12-30,Switch,Super Mario RPG,US,1800
